hour,meanCapFactor,meanEnergyMWh,p90EnergyMWh,p10EneryMWh,p75EnergyMWh,p25EneryMWh,meanSpecificYield
0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0
2,0,0,0,0,0,0,0
3,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0
5,0.00002507636648088394,0.0012538183240441967,0,0,0,0,0.0006018327955412146
6,0.06773157850787148,3.386578925393558,8.867799999999999,0.21158800000000003,4.1392500000000005,0.77431,1.6255578841889156
7,0.43618490476190586,21.80924523809528,36.559,5.579320000000001,30.7395,12.696,10.468437714285741
8,0.711105104527229,35.555255226361524,50,11.693,46.67,26.634,17.066522508653495
9,0.8432753184707128,42.16376592353562,50,20.893,50,39.775999999999996,20.238607643297108
10,0.8986940950425324,44.9347047521267,50,29.5898,50,46.081,21.568658281020777
11,0.9065218732766185,45.32609366383092,50,31.4098,50,46.551500000000004,21.756524958638842
12,0.8978273380267913,44.89136690133979,50,31.5646,50,44.2455,21.54785611264299
13,0.869700443140706,43.48502215703518,50,27.538600000000002,50,41.335499999999996,20.872810635376943
14,0.818757247286593,40.93786236432972,50,20.3944,50,36.5655,19.650173934878232
15,0.7258632371174325,36.29316185587166,50,12.8646,47.001999999999995,28.874499999999998,17.42071769081838
16,0.5864085144617197,29.32042572308598,43.3998,7.5637,39.9795,19.6235,14.073804347081273
17,0.2447993409993162,12.239967049965752,22.577199999999987,3.7130600000000005,15.049,7.60075,5.875184183983588
18,0.011672973638408137,0.5836486819204055,2.12034,0,0.58532,0,0.2801513673217953
19,0,0,0,0,0,0,0
20,0,0,0,0,0,0,0
21,0,0,0,0,0,0,0
22,0,0,0,0,0,0,0
23,0,0,0,0,0,0,0
